topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,doc_id
0.790426,0.02500027,0.005498,0.10586813,0.007602017,0.0041624596,0.011624596,0.0061998754,0.009101209,0.024280027,0.005032382,0.005205044,0
0.010072817,0.21319306,0.007230423,0.01901422,0.0069380803,0.0038455683,0.13195296,0.0032619035,0.0061863223,0.022823108,0.46506268,0.110418834,1
0.017697882,0.010191332,0.0020075568,0.00740661,0.0031430146,0.0018015901,0.1033263,0.004356623,0.0021300863,0.016698573,0.0031351263,0.82810533,2
0.08125508,0.07964292,0.14611141,0.018254478,0.038083456,0.019331416,0.043990493,0.020759268,0.024415223,0.045830637,0.46677315,0.0155525105,3
0.114212334,0.026796367,0.018549453,0.01168227,0.036046322,0.01764729,0.21009763,0.011566007,0.029647883,0.02390487,0.29975042,0.20009927,4
0.11363158,0.017905286,0.009794587,0.01702685,0.011079669,0.009555525,0.106571995,0.010211129,0.013197673,0.029130464,0.34502712,0.3168681,5
0.15358487,0.20940565,0.009375775,0.05630966,0.3293607,0.008644534,0.14690246,0.011721215,0.00857213,0.034572043,0.009568225,0.021982666,6
0.0050671264,0.83608603,0.0031084951,0.0062610907,0.0043480378,0.0035438736,0.060549166,0.0034194489,0.003098852,0.052687235,0.016436465,0.0053941696,7
0.044696577,0.04713104,0.03138301,0.74463373,0.020377351,0.010490747,0.007199808,0.011518975,0.052052613,0.015394714,0.0065137143,0.008607501,8
0.05642244,0.047130693,0.047466524,0.7119264,0.021874446,0.013264627,0.0083410125,0.008383695,0.045536883,0.02204652,0.007887083,0.00971967,9
0.054865655,0.040714905,0.027493041,0.6313279,0.079833545,0.017786568,0.014548331,0.017986156,0.05346436,0.030430006,0.014895486,0.016654067,10
0.030593157,0.03224562,0.034426007,0.19225101,0.44298416,0.03159033,0.029805401,0.084603034,0.039626904,0.03552745,0.021502187,0.024844749,11
0.021898143,0.021048054,0.009313563,0.05428951,0.075163506,0.010385273,0.5977823,0.0099113975,0.012453031,0.012397973,0.16693597,0.008421297,12
0.15510604,0.010814862,0.36063924,0.0171528,0.012770841,0.009365077,0.32630682,0.009577756,0.026904244,0.04707654,0.011370887,0.0129147805,13
0.026312456,0.011005471,0.015226808,0.005828225,0.007836912,0.10373961,0.7600757,0.0066749197,0.008803319,0.0082695065,0.035079718,0.01114743,14
0.008319069,0.006700037,0.005460086,0.0036521165,0.004605236,0.009274036,0.9161844,0.0044117607,0.0050837686,0.004719208,0.025432162,0.006158162,15
0.008438485,0.006093447,0.0051421938,0.0035930572,0.0043298705,0.0076657226,0.92167753,0.004238611,0.0049059405,0.004828826,0.023727342,0.005359008,16
0.05696494,0.085875064,0.040473465,0.042868525,0.3951258,0.042164594,0.10612266,0.04879946,0.044318654,0.046554465,0.052201632,0.038530685,17
0.056964297,0.08585596,0.040473454,0.042868312,0.39514726,0.042164594,0.1061223,0.04879913,0.04431848,0.046554256,0.05220126,0.038530704,18
0.07927771,0.108020864,0.041382983,0.04320233,0.35160866,0.05016934,0.081909195,0.049929637,0.04489544,0.046722308,0.062195502,0.040686037,19
0.038076665,0.0829734,0.09255647,0.031607278,0.2711153,0.058056597,0.03210502,0.039383166,0.043864775,0.062699705,0.22035147,0.02721004,20
0.006860372,0.891051,0.007961086,0.01979912,0.013039339,0.0068664015,0.009874622,0.005591126,0.0173222,0.009274474,0.0051296023,0.0072306083,21
0.06015782,0.065822266,0.036783356,0.12988845,0.42161408,0.038882297,0.04112437,0.049926024,0.036870398,0.05289838,0.035745244,0.03028723,22
0.023305828,0.022104254,0.018553624,0.02919911,0.17377885,0.014967822,0.018036697,0.018058855,0.6377488,0.017681314,0.0138505045,0.012714395,23
0.048996102,0.055203535,0.2464392,0.024691373,0.07192098,0.046495404,0.021832848,0.0795582,0.039673164,0.07006438,0.023386257,0.27173856,24
0.003314912,0.003920839,0.008314231,0.0035701008,0.0020247314,0.004234312,0.003008857,0.4557779,0.5057427,0.0031605319,0.0030054224,0.003925386,25
0.013202243,0.017768737,0.00618597,0.83322376,0.061497357,0.004405231,0.028909896,0.0058359103,0.0108623635,0.00868313,0.00554985,0.0038755958,26
0.012081032,0.30126905,0.0089563215,0.3621879,0.22436714,0.008690903,0.014714444,0.009373771,0.010980206,0.027728433,0.011584646,0.008066115,27
0.0016974233,0.0016647801,0.0015505815,0.0055539403,0.001923319,0.0013824746,0.9772045,0.0016862736,0.0016688836,0.0025054363,0.0014937468,0.001668745,28
