path,is_duplicate,duplicate_of,text_hash,text_len,group_size
D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBM-CLI.11.1535062).pdf,False,,a4c9719f88cd8864eb59ecfd8b5967d68d6a0d33,7538,2
D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBMCLI.11.1535062).pdf,True,D:\Codes\get_policy\output\法宝数据库\地方\中国(上海)自由贸易试验区临港新片区管理办法(FBM-CLI.11.1535062).pdf,a4c9719f88cd8864eb59ecfd8b5967d68d6a0d33,7538,2
D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》实施有关事项答记者问_2025-05-27.md,False,,6a8c66244745600f9f734ccb5bb36d132da0effb,1198,2
D:\Codes\get_policy\output\网信办\个人信息保护\《个人信息保护合规审计管理办法》答记者问_2025-02-14.md,False,,30740561f895307f8be2e52c36deeafa8432e01b,3057,2
D:\Codes\get_policy\output\网信办\个人信息保护\《人脸识别技术应用安全管理办法》答记者问_2025-03-21.md,False,,618e1a587add1dc6d756af0c48571a69f8f36d15,2969,2
D:\Codes\get_policy\output\网信办\个人信息保护\个人信息保护合规审计管理办法_2025-02-14.md,False,,2a0c6210e17b85479802134f6c4ca371353716c3,8218,2
D:\Codes\get_policy\output\网信办\个人信息保护\人脸识别技术应用安全管理办法_2025-03-21.md,False,,8f004801e3b040e0485405d7998aa8f2d7cae86d,3135,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\《个人信息出境标准合同办法》答记者问_2023-02-24.md,False,,edeba31a321b98b75c13d263c33d5d847e69668f,2008,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\个人信息出境标准合同办法_2023-02-24.md,False,,9146370a55812a6207109486c9d0b3d6b36e5809,2411,2
D:\Codes\get_policy\output\网信办\个人信息出境标准合同\国家互联网信息办公室公布《个人信息出境标准合同办法》_2023-02-24.md,False,,ec622c643e03e667e309deab95a06beba8c258d1,1111,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\​个人信息保护认证实施规则_2022-11-18.md,False,,01ea5b6e7d84c3e52adfefb8fb1e11424303d259,2167,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜《个人信息出境认证办法》公布 完成数据跨境制度体系新拼图_2025-10-17.md,False,,370ac83c16cfb6af030567cca585099b8b4227d1,3385,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜加快实施个人信息出境认证制度 以高水平数据安全保障数字经济高质量发展_2025-10-17.md,False,,5b2395d7537bb4371278cda76d495e2ee5b19a0f,3239,2
D:\Codes\get_policy\output\网信办\个人信息出境认证\专家解读｜建构个人信息出境认证制度 完善个人信息出境合规体系_2025-10-17.md,False,,5db07bd539314d0140cff5b215b10b3372e95328,1973,2
