term,count
企业,18890
数字,16064
创新,15669
产业,13180
支持,12368
平台,11050
经济,10381
国际,9891
技术,8505
贸易,8248
重点,7774
打造,7330
合作,7017
个人信息,6654
改革,6035
资源,5901
保护,5810
制度,5799
金融,5749
项目,5498
能力,5363
监管,5288
互联网,5284
优化,5231
科技,5223
产品,5187
市场,5138
开放,5130
数字化,5040
构建,5022
智慧,4857
综合,4854
试点,4680
培育,4639
智能,4615
标准,4612
社会,4566
政府,4541
融合,4531
保障,4418
协同,4399
人才,4375
强化,4350
模式,4273
网络,4256
投资,4198
治理,4091
深化,4067
环境,4056
试验区,4039
文化,4004
制定,3986
工业,3983
研发,3974
区域,3952
行业,3905
持续,3739
一批,3655
评估,3653
责任,3506
基础,3474
交易,3470
生态,3436
水平,3428
政务,3409
特色,3314
风险,3276
基础设施,3243
规划,3218
物流,3139
共享,3126
规范,3108
落实,3030
绿色,3021
高质量,3014
人工智能,2955
场景,2931
提高,2881
制造,2870
系统,2749
人民政府,2740
基地,2737
示范,2729
工程,2725
认证,2714
进一步,2700
健全,2698
功能,2689
消费,2684
健康,2676
全球,2647
各类,2620
转型,2614
统筹,2594
作用,2584
服务业,2580
旅游,2554
运营,2545
生产,2532
数据安全,2525
