term,tfidf_score
个人信息,0.006175287970761319
企业,0.0059145496956002006
数字,0.00515003103439707
创新,0.004484325987865954
贸易,0.0036528126006787538
产业,0.003604285624163875
国际,0.003323280165833376
经济,0.0029620920012515374
平台,0.0029506214681420994
保护,0.0026927957714245657
技术,0.0025115079594336723
试验区,0.002390795880139022
互联网,0.0022874130251226065
改革,0.0021796452191223635
合作,0.002144243772771793
评估,0.002131438908031229
金融,0.002015197523962371
制度,0.0020002363153919724
标准,0.0019909403783250745
认证,0.0019830404981367464
自由贸易,0.001964654402812286
开放,0.0019192515489955145
项目,0.0019005598859172855
数据安全,0.0018889738355566798
资源,0.0018675959411153947
试点,0.0018534380438518315
监管,0.001802698445550578
市场,0.0017901701361421084
数字化,0.0017519049580161778
科技,0.0017203318822777318
产品,0.001637839592122341
交易,0.001623098995552551
公共数据,0.001595552746479908
投资,0.0015930868689556302
培育,0.0015839431853798575
外商投资,0.0015469031966840576
人民政府,0.0015326324040741315
治理,0.0015286395155918709
责任,0.0015197768420238842
构建,0.0015081605352956415
