term,tfidf_score
个人信息,0.007084864574737335
评估,0.00531027892872005
企业,0.004746937936116483
数字,0.004600087265495104
创新,0.004312525553694996
互联网,0.0038288533593410674
国际,0.0036496879318492852
贸易,0.0033064547196161296
数据安全,0.0032148362103657496
标准合同,0.003137011829138848
保护,0.0028759723566883846
标准,0.002837621854367774
制度,0.0028218444691223434
金融,0.0027553283138542707
试点,0.0027509478711111052
改革,0.0027406721917726776
合作,0.0027288515369093855
产业,0.0026497877586967146
技术,0.002633440232056208
经济,0.002547520295756218
平台,0.002519224947708476
开放,0.0024611405541929577
风险,0.0023528721656085713
监管,0.0023396467802634384
投资,0.0021386842861124667
工业,0.0020472511474943587
网络,0.0019727558561025466
市场,0.0019510941596071333
自由贸易,0.001815175848303514
外商投资,0.0017923555919833985
治理,0.0017873755355184303
网络安全,0.0017695265058388257
产品,0.0017246167225365653
行业,0.0017068328491683584
资源,0.001690919123118052
备案,0.0016752326862330934
保障,0.001669367340804585
规范,0.0016196513638172337
交易,0.0015911945147487362
综合,0.0015758342144427142
