term,tfidf_score
企业,0.006581725561895109
数字,0.005642249254592092
创新,0.0047837390979520835
产业,0.003960648374887264
贸易,0.003921837516966009
国际,0.0034600830788868537
经济,0.003189298333252114
平台,0.0030967204461941557
试验区,0.0025959807455422615
技术,0.0023005443023345258
改革,0.0021921460787730713
项目,0.0020905970932993644
合作,0.002085209744748129
自由贸易,0.0020449590217974808
金融,0.0020357577993588543
互联网,0.001987409126703174
资源,0.0019872031683653623
开放,0.0019225832890911766
数字化,0.0019054258646021645
标准,0.0018931033562544245
科技,0.0018604401447984466
公共数据,0.0018559713389395321
市场,0.001834342924557773
制度,0.0018117051651990296
试点,0.0017970887563332333
责任,0.0017798704890024625
培育,0.0017427857304757775
人民政府,0.0017378769275787425
交易,0.0017286622113761052
监管,0.0017251023296626835
智慧,0.0016686822515680642
产品,0.0016614305510859297
外商投资,0.0016485696301505415
政务,0.0016197976903633397
政府,0.0016083586315909087
规划,0.0015965246981845091
投资,0.0015958829365984143
构建,0.001591719050471082
人才,0.0015591912427341233
智能,0.001547233303511055
