stage,doc_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
2012,1,0.003314912,0.003920839,0.008314231,0.0035701008,0.0020247314,0.004234312,0.003008857,0.4557779,0.5057427,0.0031605319,0.0030054224,0.003925386
2014,1,0.008386252,0.0064573037,0.27382457,0.004165851,0.0055395477,0.03573821,0.0056774,0.012931825,0.57664746,0.009156194,0.0058230115,0.05565233
2015,3,0.021957614,0.046039212,0.18373035,0.016201505,0.10028864,0.037068017,0.029576356,0.10363401,0.39055064,0.022769807,0.021236306,0.026947513
2016,14,0.01241386,0.017381672,0.15597506,0.14923985,0.030747414,0.04277924,0.01333689,0.06940208,0.4239574,0.018839402,0.019860014,0.04606715
2017,10,0.030969376,0.037762705,0.021504,0.14782497,0.3887301,0.089661114,0.038094155,0.111012295,0.02237357,0.047241393,0.04029494,0.024531359
2018,7,0.018716654,0.017579617,0.16759895,0.09451572,0.14017287,0.06673117,0.04063465,0.14662804,0.08332505,0.19451223,0.015090191,0.0144949155
2019,12,0.02686073,0.12773205,0.06935452,0.11842817,0.10845374,0.0716835,0.09682908,0.033258144,0.05816943,0.05118232,0.21673293,0.021315416
2020,47,0.02995695,0.05233418,0.082094334,0.055742923,0.060652785,0.09592628,0.118481785,0.022597343,0.03680065,0.041822333,0.31978047,0.08380997
2021,143,0.039051503,0.054393873,0.14487898,0.1362849,0.09147708,0.13186698,0.04420406,0.026318563,0.035581063,0.03947423,0.15094043,0.10552831
2022,106,0.07381841,0.0699526,0.104360566,0.1639536,0.14454426,0.08113001,0.04229992,0.04159498,0.035684388,0.07291076,0.10395379,0.06579671
2023,111,0.103586346,0.046659857,0.064758554,0.16553092,0.12149417,0.07259879,0.11958678,0.040907506,0.029503835,0.055231404,0.13632338,0.04381848
2024,168,0.11107705,0.060744695,0.069799006,0.10037297,0.13110505,0.06729768,0.08661316,0.0455708,0.058314864,0.05987807,0.14608936,0.06313728
2025,249,0.09057564,0.045617666,0.071233936,0.24675812,0.10902739,0.058520038,0.070961915,0.045238793,0.043043103,0.06651036,0.102157176,0.050355855
2026,13,0.043812636,0.033812802,0.04012042,0.14081796,0.15161559,0.05799991,0.04158926,0.06961851,0.07524754,0.06772682,0.12407191,0.15356664
