stage,doc_count,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,0.008386252,0.0064573037,0.27382457,0.004165851,0.0055395477,0.03573821,0.0056774,0.012931825,0.57664746,0.009156194,0.0058230115,0.05565233
2015,2,0.02972407,0.06629783,0.21281177,0.021839878,0.148857,0.051815785,0.029227257,0.15131427,0.19182192,0.030270599,0.028110163,0.037909474
2016,9,0.010908719,0.020022782,0.23079747,0.109898895,0.033062205,0.06021158,0.011095729,0.08256,0.33263853,0.017023876,0.026002876,0.065777384
2017,9,0.025601782,0.029956242,0.019295223,0.15944973,0.39285472,0.09404909,0.033225816,0.117799245,0.01987114,0.04729907,0.037861545,0.022736395
2018,5,0.015464431,0.01643401,0.22127716,0.111958906,0.15992291,0.08774296,0.046834998,0.15176877,0.107225165,0.051437072,0.01568966,0.014243971
2019,8,0.027405199,0.17464393,0.088321075,0.02276365,0.1466614,0.09817487,0.05144964,0.036875397,0.07081646,0.06315795,0.19740097,0.022329465
2020,39,0.032573182,0.052408963,0.096379,0.021945318,0.06696823,0.1132248,0.11241428,0.0245229,0.027711865,0.046446092,0.31021172,0.09519364
2021,108,0.03785643,0.05738964,0.17609574,0.020566799,0.11291224,0.17068207,0.031280715,0.027069293,0.03508908,0.043770757,0.16363105,0.12365618
2022,75,0.070794396,0.07037268,0.12970981,0.03374065,0.16985413,0.10573757,0.034412812,0.047675554,0.03663165,0.09140433,0.12718803,0.08247836
2023,70,0.12656505,0.045160513,0.079348706,0.045559417,0.13460708,0.091447696,0.121773526,0.042335097,0.021155348,0.06722691,0.17824498,0.046575684
2024,132,0.11990446,0.047008,0.07575941,0.05780294,0.13948865,0.07439037,0.09174912,0.051651362,0.061100714,0.064553946,0.16005518,0.056535862
2025,159,0.11708037,0.056632467,0.09449816,0.078417525,0.13308655,0.07826688,0.0685358,0.053617377,0.04927833,0.088137984,0.12751688,0.054931678
2026,8,0.052505247,0.03690554,0.017892523,0.015338996,0.14698036,0.08224096,0.044178408,0.09628824,0.017163156,0.09219971,0.16110906,0.23719779
